round,lr,val_loss,val_dice_WT,val_dice_TC,val_dice_ET,val_mean_dice,local_loss_TCGA-GBM,crop_source_counts_TCGA-GBM,local_loss_TCGA-LGG,crop_source_counts_TCGA-LGG,local_loss_UCSF-PDGM,crop_source_counts_UCSF-PDGM,local_loss_UPENN-GBM,crop_source_counts_UPENN-GBM
73,3.44599062316173e-05,0.297211984119245,0.9118975985617864,0.8720225785209114,0.8420174071502239,0.8753125280776405,0.3884599022567272,"{""random"": 5, ""tumor_jitter"": 31, ""foreground"": 20, ""et_jitter"": 16}",0.83115502803222,"{""random"": 8, ""tumor_jitter"": 23, ""foreground"": 3, ""tumor_jitter_no_et"": 5, ""et_jitter"": 7}",0.28684048999601336,"{""random"": 28, ""tumor_jitter"": 137, ""et_jitter"": 55, ""foreground"": 47, ""tumor_jitter_no_et"": 1}",0.2706676405235376,"{""foreground"": 69, ""random"": 38, ""tumor_jitter"": 179, ""et_jitter"": 72}"
74,3.322935356364625e-05,0.28516389713400886,0.9024716111875716,0.8700491719904849,0.8369470789031008,0.8698226206937191,0.342906823174821,"{""tumor_jitter"": 40, ""random"": 5, ""foreground"": 18, ""et_jitter"": 9}",0.834527648013571,"{""tumor_jitter"": 20, ""foreground"": 13, ""random"": 5, ""et_jitter"": 4, ""tumor_jitter_no_et"": 4}",0.26568066434406523,"{""tumor_jitter"": 146, ""et_jitter"": 56, ""foreground"": 45, ""random"": 20, ""tumor_jitter_no_et"": 1}",0.2705537754646893,"{""et_jitter"": 75, ""tumor_jitter"": 183, ""foreground"": 66, ""random"": 34}"
75,3.201083709003717e-05,0.2915798048533145,0.8921242515246074,0.8701265735772251,0.8422597071176765,0.8681701774065029,0.3919987637135718,"{""tumor_jitter"": 45, ""foreground"": 9, ""random"": 8, ""et_jitter"": 10}",0.8367784023284912,"{""random"": 4, ""tumor_jitter"": 28, ""foreground"": 5, ""et_jitter"": 6, ""tumor_jitter_no_et"": 3}",0.26580643414783833,"{""tumor_jitter"": 137, ""random"": 24, ""foreground"": 56, ""et_jitter"": 51}",0.27556818519724147,"{""foreground"": 76, ""et_jitter"": 63, ""tumor_jitter"": 185, ""random"": 34}"
76,3.0805206014736426e-05,0.2921274530745688,0.9006388958011354,0.8716580543277831,0.8441163780009636,0.872137776043294,0.3402230420874225,"{""tumor_jitter"": 34, ""random"": 6, ""et_jitter"": 18, ""foreground"": 14}",0.8312283858009006,"{""random"": 4, ""et_jitter"": 6, ""tumor_jitter"": 23, ""foreground"": 10, ""tumor_jitter_no_et"": 3}",0.29167465359639766,"{""tumor_jitter"": 143, ""et_jitter"": 53, ""foreground"": 40, ""random"": 32}",0.28057545752332197,"{""foreground"": 74, ""et_jitter"": 96, ""tumor_jitter"": 154, ""random"": 34}"
77,2.9613300561646686e-05,0.2911463651983511,0.9052958224500929,0.865534330858472,0.8342663309240219,0.8683654947441957,0.3579177496333917,"{""et_jitter"": 17, ""tumor_jitter"": 35, ""random"": 8, ""foreground"": 12}",0.8630465631899626,"{""et_jitter"": 7, ""tumor_jitter"": 20, ""foreground"": 13, ""tumor_jitter_no_et"": 3, ""random"": 3}",0.2802176021261891,"{""foreground"": 57, ""tumor_jitter"": 134, ""et_jitter"": 53, ""random"": 22, ""tumor_jitter_no_et"": 2}",0.26681740119970043,"{""tumor_jitter"": 165, ""et_jitter"": 79, ""foreground"": 69, ""random"": 45}"
78,2.843595138906136e-05,0.28381715541084607,0.9075450753881817,0.8755981431843707,0.842630508664108,0.8752579090788868,0.3618126441207197,"{""tumor_jitter"": 40, ""et_jitter"": 14, ""foreground"": 14, ""random"": 4}",0.8902545078941013,"{""foreground"": 10, ""tumor_jitter_no_et"": 4, ""tumor_jitter"": 20, ""random"": 7, ""et_jitter"": 5}",0.26362503787030034,"{""random"": 27, ""foreground"": 53, ""tumor_jitter"": 127, ""et_jitter"": 59, ""tumor_jitter_no_et"": 2}",0.2706359846298921,"{""foreground"": 66, ""et_jitter"": 78, ""random"": 40, ""tumor_jitter"": 173, ""tumor_jitter_no_et"": 1}"
79,2.727397901076523e-05,0.28979044393414544,0.906200362103326,0.8734363236030958,0.8433203993844437,0.8743190283636219,0.34394458308815956,"{""foreground"": 21, ""tumor_jitter"": 29, ""et_jitter"": 18, ""random"": 4}",0.815099324869073,"{""et_jitter"": 11, ""foreground"": 8, ""random"": 3, ""tumor_jitter"": 18, ""tumor_jitter_no_et"": 6}",0.28647338476643636,"{""tumor_jitter"": 124, ""foreground"": 51, ""et_jitter"": 58, ""random"": 35}",0.2576082339250176,"{""tumor_jitter"": 188, ""et_jitter"": 70, ""foreground"": 67, ""random"": 33}"
80,2.6128193224205063e-05,0.287205681098359,0.9022830845344634,0.8716023486743898,0.8420241717621374,0.8719698683236635,0.37733694828218883,"{""tumor_jitter"": 35, ""foreground"": 12, ""et_jitter"": 18, ""random"": 7}",0.8748182200867197,"{""foreground"": 14, ""et_jitter"": 6, ""tumor_jitter"": 20, ""tumor_jitter_no_et"": 4, ""random"": 2}",0.2780553456117858,"{""tumor_jitter"": 130, ""random"": 31, ""foreground"": 51, ""et_jitter"": 56}",0.27552188470876415,"{""random"": 45, ""tumor_jitter"": 180, ""foreground"": 66, ""et_jitter"": 67}"
81,2.4999392546128645e-05,0.28512973703798794,0.9068470165843056,0.8748148958729725,0.8448235315896372,0.8754951480156383,0.3759741331968043,"{""et_jitter"": 15, ""random"": 10, ""tumor_jitter"": 36, ""foreground"": 11}",0.7818560185639755,"{""random"": 10, ""foreground"": 9, ""tumor_jitter"": 22, ""tumor_jitter_no_et"": 3, ""et_jitter"": 2}",0.26652919100736505,"{""random"": 18, ""tumor_jitter"": 139, ""et_jitter"": 55, ""foreground"": 55, ""tumor_jitter_no_et"": 1}",0.2533091280879921,"{""et_jitter"": 75, ""random"": 38, ""tumor_jitter"": 171, ""tumor_jitter_no_et"": 1, ""foreground"": 73}"
82,2.3888363656085417e-05,0.2842656440678097,0.9025648615189961,0.8735501319285223,0.845134104463996,0.8737496993038381,0.35842058973179924,"{""foreground"": 14, ""tumor_jitter"": 38, ""et_jitter"": 14, ""random"": 6}",0.809299305729244,"{""random"": 6, ""tumor_jitter"": 23, ""foreground"": 10, ""tumor_jitter_no_et"": 1, ""et_jitter"": 6}",0.26124817555520075,"{""tumor_jitter"": 124, ""random"": 23, ""foreground"": 68, ""et_jitter"": 53}",0.24970870831325734,"{""tumor_jitter"": 198, ""foreground"": 59, ""et_jitter"": 62, ""random"": 38, ""tumor_jitter_no_et"": 1}"
83,2.279588084817676e-05,0.2905830958769435,0.9093379879281634,0.8738967588375279,0.8453096794893685,0.8761814754183533,0.3892473243176937,"{""et_jitter"": 16, ""foreground"": 12, ""random"": 11, ""tumor_jitter"": 33}",0.7826460716517075,"{""foreground"": 9, ""tumor_jitter"": 24, ""random"": 3, ""tumor_jitter_no_et"": 3, ""et_jitter"": 7}",0.28007533034281945,"{""random"": 27, ""tumor_jitter"": 130, ""et_jitter"": 56, ""foreground"": 54, ""tumor_jitter_no_et"": 1}",0.2640408029436399,"{""tumor_jitter"": 184, ""et_jitter"": 63, ""foreground"": 73, ""random"": 38}"
84,2.1722705491437747e-05,0.2738619157246181,0.9023773725543703,0.8815450249793468,0.8441335777913924,0.8760186584417031,0.3605264433556133,"{""foreground"": 18, ""et_jitter"": 15, ""tumor_jitter"": 28, ""random"": 11}",0.7461440900097722,"{""foreground"": 6, ""tumor_jitter"": 24, ""random"": 8, ""et_jitter"": 5, ""tumor_jitter_no_et"": 3}",0.2727645954200581,"{""tumor_jitter"": 133, ""random"": 28, ""foreground"": 52, ""et_jitter"": 54, ""tumor_jitter_no_et"": 1}",0.25227796569383343,"{""foreground"": 69, ""tumor_jitter"": 177, ""et_jitter"": 76, ""random"": 36}"
85,2.0669585499226815e-05,0.28184383511543276,0.9066735693386623,0.8746378984572727,0.8448120437805,0.8753745038588118,0.3542526852753427,"{""et_jitter"": 10, ""foreground"": 12, ""tumor_jitter"": 42, ""random"": 8}",0.7756750324498052,"{""tumor_jitter"": 19, ""foreground"": 11, ""tumor_jitter_no_et"": 4, ""et_jitter"": 9, ""random"": 3}",0.2826330000673657,"{""foreground"": 57, ""tumor_jitter"": 126, ""et_jitter"": 55, ""random"": 29, ""tumor_jitter_no_et"": 1}",0.24429787016947177,"{""tumor_jitter"": 205, ""et_jitter"": 64, ""foreground"": 56, ""random"": 33}"
86,1.9637254807992694e-05,0.27382972346884865,0.8975805617514111,0.8783833344560029,0.8433092374366099,0.873091044548008,0.37550682574510574,"{""foreground"": 18, ""tumor_jitter"": 36, ""random"": 7, ""et_jitter"": 11}",0.8010389195836108,"{""foreground"": 9, ""random"": 9, ""tumor_jitter"": 21, ""tumor_jitter_no_et"": 1, ""et_jitter"": 6}",0.2617950929857012,"{""tumor_jitter"": 145, ""foreground"": 49, ""random"": 25, ""et_jitter"": 48, ""tumor_jitter_no_et"": 1}",0.2552560673162924,"{""tumor_jitter"": 185, ""et_jitter"": 65, ""random"": 35, ""foreground"": 72, ""tumor_jitter_no_et"": 1}"
